id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
467,Aaron,Avshalomov <small>(Аарон Авшаломов)</small>,1894-11-11,1965-04-26,"Nikolayevsk-on-Amur,Russia","New,USA","Aaron Avshalomov was born into a Jewish musician family. After the Revolution he went to China and became a music teacher and conductor there. After World War II, he emigrated to America. His son Jacob and grandson David are also composers. His music is influenced by Chinese songs and rhythms.",,
468,Emil,Axman,1887-06-03,1949-01-25,"Rataje,Czech Republic","Prague,Czech Republic",,,
469,Daniel,Ayala-Pérez,1906-07-21,1975-06-20,"Abala,Mexico","Veracruz,Mexico",,,
470,Edward,Luiz Ayres d’Abreu,,,"Durban,South Africa",,,,
471,Svitlana,Azarova <small>(Светлана Азарова)</small>,1976-01-09,,Ukraine,,,,
472,Sérgio,Azevedo,1968-08-23,,"Coimbra,Portugal",,"Sérgio Azevedo. Born in Coimbra in 1968. Studies of Guitar, Piano, Solfege and Composition at the Academia de Amadores de Música (composition with Fernando Lopes-Graça) between 1975-1987. 3rd year Master Degree in Composition at the Escola Superior de Música de Lisboa in 1990 with 19 values [out of 20] in Composition (Constança Capdeville) and 4th year Master Degree in 2000 with 20 values (Christopher Bochmann). Started his Doctorate in Composition at the Universidade de Avora in 2004 (Amílcar Vasques-Dias and Benoit Gibson). Scholarship ""Young Artists"" from the Centro Nacional de Cultura (CNC) between 1991-92. Seminars and lessons with Emmanuel Nunes, Tristan Murail, Philippe Manoury, Jorge Peixinho, Gilbert Amy, Robert Sherlaw-Johnson, Louis Andriessen, Luca Francesconi, Mary Finsterer. Member of the directors board of the Academia de Amadores de Música between 1994-95 and vice-president and member of the academy artistic council between 1998-2000. Collaborates with RDP (National Radio Broadcasting) between 1993-99 and again between 2002-03. Writes in several magazines and dictionaries such as Arte Musical, Revista Portuguesa de Musicologia, Enciclopédia da Música em Portugal no Século XX, ISCM New Music Magazine, and The New Grove Dictionary of Music and Musicians. He also write regularly for IPAE (notes for CD’s covers) and collaborates with several festivals and musical institutions (program notes for CNB, Festival de Espinho, Fine Arts, etc). He was teacher at the Academia de Música Luísa Todi, Academia de Amadores de Música and the Orquestra Metropolitana de Lisboa between 1987- 1995. He is currently teacher of Composition at the Superior School of Music of Lisbon since 1993. Member of the Centro de Estudos Sociais e de Estética Musical (CESEM) since 1998. Wrote two books: A Invenção dos Sons (Caminho, Lisboa 1999) and A Escadaria Angreme - Aforismos (Edições, Porto 2004). In 2002 was invited to member of the jury of the 3rd International Composition Contest Euritmia (Italy). Was member of the jury of the IPAE Contests (Portugal, 2002-03), member of the jury of the 8th Prémio de Composição Fernando Lopes-Graça (2003, Cascais - Portugal), member of the jury of the Concurso de Piano Florinda Santos (2004, São João da Madeira - Portugal), and member of the jury of the Prémio Internacional de Composição Fernando Lopes-Graça (2006, Cascais - Portugal), integrated in the commemorations of the composer’s birth centenary. Artistic Director of the contemporary music festival Os Dias da Nova Música Portuguesa I and II (2003, Condeixa - Portugal, 2004, Coimbra - Portugal) and artistic director of the Ciclo de Música de Câmara / Sons de Setembro (2004, Cascais - Portugal). Also works as a music expert for the courts. Prizes: 1st Prize Joly Braga-Santos 1991 (orchestra), 1st Prize Joly Braga-Santos 1991 (chamber music), 1st Prize Juventude Musical Portuguesa 1992, United Nations Prize 1994, 1st Prize Joly Braga-Santos 1994, 1st Prize Fernando Lopes-Graça 1997, 1st Prize Fernando Lopes-Graça 1998, 2nd Prize Schiedmayer Internationalen Kompositionswettbewerb (Stuttgart - Germany) 1998, Mention of Honour (CPM) 1989, Mention of Honour (CML) 1992, Mention of Honour (CMP) 1996, Mention of Honour (Corué) 1998, Mention of Honour (CMC) 2001, selected for the final of the Prize Fidelidade 1992, selected for the International Rostrum of Composers (UER, Paris) 1992, 1999 e 2000, selected to represent Europe at the International Composition Contest Forum 98 (Montréal - Canada) 1998 and selected for the CD of the Forum, selected for the final of the International Contest of Composition Journées Internationales de la Jeune Musique - Ensemble Télémaque (Marseille - France) 1998 and for the CD of the contest, selected for the International Piano Music Festival PPianissimo (Sofia - Bulgaria) 1999, selected for the 1st Estúdio Coreográfico da Companhia Nacional de Bailado and both Prizes for the Best Ballet Music and Best Ballet in 1999, selected for the 3rd edition of London New Wind Festival - New Wind Chamber Ensemble (London - UK) 2000, selected for ""Exploratory Music From Portugal ‘02"", free CD attached to music magazine Songlines (London - UK) 2002, proposed for the Grawemeyer Composition Prize 2004 - sponsored by maestro José Ramon Encinar and the Orquesta de la Comunidad de Madrid. Adress: Rua João de Barros, Lote 21, 1º esq. / Alapraia - São João do Estoril / 2765 099 Estoril - Portugal. E-mail: &lt;<a href=""mailto:sergio.aze<img src=""/a.png"" style=""border: 0pt; margin: 0pt; padding: 0pt;"" alt=""(at)""/>sapo.pt"">sergio.aze<img src=""/a.png"" style=""border: 0pt; margin: 0pt; padding: 0pt;"" alt=""(at)""/>sapo.pt&gt;. Phone: 96 339 7727. Fax only: 21 466 50 42.",,
473,Miguel,Azguime,,,"Lisbon,Portugal",,,,
474,Francesco,Azopardi,1748-05-05,,"Rabat,Malta",,,,
475,Jose,Becerril Alatorre,1964-12-09,,"Mexico,Mexico",,"In 2001, Zazanilia movement was started in Querétaro City by José Becerril Alatorre (b. 1964). He studied piano in Mexico City at Escuela Nacional de Música, and later Electronic Engineering at Universidad La Salle. He was a pupil of Eva del Carmen Medina Amezcua and followed lessons with Carlos Vazquez. He has composed music for Chamber Orchestra, Choir, Arias, Piano, String Quartet, Trio, Duet.",,
476,Anton,Berlijn <small>(Aron Wolf)</small>,1817-05-02,1870-01-18,"Amsterdam,The Netherlands","Amsterdam,The Netherlands",,,
477,Benedictus,"Buns <small>(Benedictus, Benedictus a Sancto Josepho, a Sancto Josepho, Buns Gelriensis)</small>",,1716-12-06,"Geldern,Germany","Boxmeer,The Netherlands",,,
478,Doreen,Mary Carwithen <small>(Alwyn)</small>,1922-11-15,2003-01-05,"Haddenham,,UK","Forncett,UK",Doreen Mary Carwithen married composer William Alwyn as his second wife and thereafter preferred to be known professionally as Mary Alwyn.,,
479,Francis,Chagrin <small>(Alexander Paucker)</small>,1905-11-15,1972-11-10,"Bucharest,Romania","Hampstead,,England",,,
480,Alonso,de Alba,,,,Spain,"Alonso de Alba, who died about 1520, was a Spanish composer, probably also a singer at the court of Ferdinand and Isabella.",,
481,Sebastián,Ramón de Albero y Añaños <small>(Alvero)</small>,1722-06-10,1756-03-30,"Roncal,Spain","Madrid,Spain","Sebastián Ramón de Albero was a member of the choir of Pamplona Cathedral from 1734 to 1739. In 1748 he was made first organist of the Spanish royal chapel, an appointment that placed him in the orbit of Domenico Scarlatti for a period of at least eight years. It is possible that he was in Madrid before then.",,
482,Miguel,del Aguila,1957-09-15,,"Montevideo,Uruguay",,"Born in Montevideo, Uruguay, the American composer Miguel del Aguila moved to the US in 1978 and after graduating from The San Francisco Conservatory of Music he traveled to Vienna to further music studies. After ten years there, during which time he was active as composer, pianist, conductor and music teacher, he returned in 1992 to live in Southern California. Numerous premieres of his works followed, and in 1994 Los Angeles Times critics chose him “resident music man of the year” and later “One of the West Coast’s most promising and enterprising young composers”. He was honored with a Kennedy Center Friedheim Award in 1995 and several California Arts Council Fellowships and Residencies from 1996 to 2000.",,
483,Kryštof,(Christophorus) Harant z Polžic a Bezdružic,,1621-06-21,"Klenová,Bohemia","Prague,Czechoslovakia","Born into a none-too-wealthy noble family at the castle Klanovy in the south of Bohemia, Kryštof Harant received a thorough and broadly inspiring upbringing and education at the Innsbruck court of the Archduke Ferdinand of Tyrol. There, he acquired a wide range of knowledge, learned several languages, absorbed the essentials of Humanism and Renaissance, and last but not least, was instructed in the art of musical composition. He stay at Innsbruck gave the young nobleman an orientation which determined his subsequent lifepath. Apart from that influence, though, Harant was doubtless endowed with natural talent for a good many areas of activity, his creative and restless spirit driving him ever to the forefront of his contemporaries. Active as a man of letters, artist and musician, he was an equally accomplished explorer, sportsman, hunter and soldier. Perhaps the only thing Harant lacked was property. That was apparently also the cause of his modest official career, a sphere where he actually received his due only at the dramatic time of the Estates revolt, with tragic effect. (He was put to the sword with along 26 leading representatives of the Estates.)",,
484,Ernst,(Ernest) II Herzog von Sachsen-Coburg und Gotha <small>(Duke of Saxe-Coburg and Gotha)</small>,1818-06-21,1893-08-22,"Coburg,Germany","Reinhardsbrunn,Germany",,,
485,Giulio,Litta (Visconti Arese),,1891-05-29,"Milano,Italy","Vedano,,Italy",,,
486,Marlos,Nobre de Almeida,1939-02-18,,"Recife,,Brazil",,"Composer, pianist and conductor.",,
487,Henryk,"Pachulski <small>(Geinrikh Al’bertovich Pakhul’skii, Гейнрих Альбертович Пахульский)</small>",1859-10-04,,"Łazy,,Poland","Moscow,Russia",,,
488,Eduard,"Schütt <small>(Arnolde Clairlie, Henri Marling)</small>",1853-10-22,1933-07-26,"St.,Russia","Obermais,,Austria [now Italy]",,,
489,Ernest,Tomlinson <small>(Alan Perry)</small>,1924-09-19,,"Rawenstall,England",,"Founder of the Light  Orchestral Music Society, responsible for the rescue and collection of many pieces of music. They are stored (over 20000 of them) in a barn near his farmhouse at Longridge (Lancashire)",,
490,Peter,van Anrooy,1879-10-13,1954-12-31,"Zaltbommel,The Netherlands","Den,The Netherlands",,,
491,Lex,van Delden <small>(Alexander Zwaap)</small>,1919-09-10,1988-07-01,"Amsterdam,The Netherlands","Amsterdam,The Netherlands",,,
492,Michel,van der Aa,1970-03-10,,The Netherlands,,,,
493,José,"Augusto Ferreira Veiga, Visconde do Arneiro",1838-11-22,1903-06-07,"Macau,China","San,Italy",,,
494,Rudolph,"(Johann Joseph Rainer) von Österreich <small>(Archduke of Austria, von Habsburg-Lothringen)</small>",1788-01-08,1831-07-24,"Firenze,Italy","Baden,Austria",Rudolph von Österreich was a pupil of Beethoven.,,
495,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
496,Erik,Satie,1866-05-17,1925-07-01,"Honfleur,France","Paris,France",,,
497,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
498,Peter,Mennin,1923-05-17,1983-06-17,"Erie,,USA","New,USA",,,
499,Philippe,Boesmans,1936-05-17,,"Tongeren,Belgium",,,,
500,Jacob,Wilhelm Lustig,1706-09-21,1796-05-17,"Hamburg,Germany","Groningen,The Netherlands","The Dutch theorist, organist and composer Jacob Wilhelm Lustig was of German descent. Among his teachers were Mattheson, Telemann and Kuntzen. His father, who was also called Jacob Wilhelm, had been a pupil of J.A. Reincken.",,
501,Fanny,Cécile Mendelssohn <small>(Hensel)</small>,1805-11-14,1847-05-17,"Hamburg,Germany","Berlin,Germany",,,
502,Henri,Cohen,,1880-05-17,"Amsterdam,The Netherlands","Brie,France",,,
503,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
504,Pietro,Mascagni,1863-12-07,1945-08-02,"Livorno,Italy","Roma,Italy",,,
505,Ruggero,Leoncavallo,1857-04-23,1919-08-09,"Napoli,Italy","Montecatini,Italy",,,
506,Maurice,Ravel,1875-03-07,1937-12-28,"Ciboure,France","Paris,France",,,
507,Aloís,Hába,1893-06-21,1973-11-18,"Vizovice,Eastern Moravia","Praha,Czechoslovakia (Now Czech Republic)",Student: Necil Akses (Turkey),,
508,Sergey,Prokofiev,1891-04-23,1953-03-05,"Sontsovka,Russia (now Ukraine)","Moscow,Russia",Prokofiev’s birthday in the old style calendar is 11 April 1891.,,
509,Samuel,Lover,1797-02-24,1868-07-06,"Dublin,Ireland","St.,UK","The Irish composer Samuel Lover was also known as a writer and as a painter. He wrote the text to his own opera “Grana Uile, or the The Island Queen” (premiered 9 February 1839 in Dublin). He also painted a miniature of Paganini in 1832. From 1835 he settled in London as a miniature painter. After his eyesight began to fail him, he started touring with a successful musical entertainment, called “Irish Evenings”, in Enlend, Scotland, Wales and even the USA (1846).",,
510,William,James Mathias,1934-11-01,1992-07-29,"Whitland,,Wales","Anglesey,Wales",,,
511,Ralf,Bauer-Mörkens,1953-02-26,,"Bonn,Germany",,,,
512,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
513,Ignaz,[Ignace] Vitzthumb <small>(Witzthumb)</small>,1724-09-14,1816-12-23,"Baden,Austria","Brussel,Belgium",,,
514,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
515,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
516,Olivia,Saunders Fox,1980-05-19,,"Kingston-upon-Thames,England",,,,
517,Wolfgang,Amadeus <small>(Amadé)</small> Mozart,1756-01-27,1791-12-05,"Salzburg,Austria","Wien,Austria","Son of Leopold, father of Franz Xaver.",,
518,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
519,Pyotr,Ilyich Tchaikovsky,1840-05-07,1893-11-06,"Wotkinsk,Russia","St.,Russia",,,
520,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
521,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
522,Johann,Nepomuk Hummel,1778-11-14,1837-10-17,"Pressburg,Slovak Republic","Weimar,Germany",,,
523,Johannes,Brahms,1833-05-07,1897-04-03,"Hamburg,Germany","Wien,Austria",,,
524,Antonio,Salieri,1750-08-18,1825-05-07,"Legnago,Italy","Vienna,Austria",,,
525,Gustav,Mahler,1860-07-07,1911-05-18,"Kalischt,Czech Republic","Wien,Austria",,,
526,Georges,Bizet,1838-10-25,1875-06-03,"Paris,France","Bougival,France",,,
527,Enrico,(Heinrich) Albicastro <small>(Weissenburg von Biswang)</small>,,,,,,,
528,Juan,Crisóstomo Jacobo Antonio Arriaga y Balzola,1806-01-27,1826-01-17,"Bilbao,Spain","Paris,France",,,
529,Arno,Arutyunovich Babajanian <small>(Babadzhanyan)</small>,1921-01-22,1983-11-11,"Erevan,Armenia","Moscow,Russia",,,
530,Gracian,Baban,,1675-02-02,,"Valencia,Spain",,,
531,Vahram,Babayan <small>(Babaian)</small>,1948-08-19,,"Yerevan,Armenia",,,,
532,Andrei,Avanesowich Babayev,1923-12-27,1964-10-21,"Msmna,Azerbaijan","Moscou,Russia",,,
533,Milton,Babbitt,1916-05-10,,"Philadelphia,,USA",,,,
534,Arbi,Baboumian,1975-10-06,,"Isfahan,Iran",,,,
535,Daniel,Anthony Baca,1977-01-27,,"Brownsville,,USA",,,,
536,Salvador,Bacarisse,1898-09-12,1963-08-05,"Madrid,Spain","Paris,France",,,
537,Grazyna,Bacewicz,1909-02-05,1969-01-17,"Lodz,Poland","Warsaw,Poland",,,
538,Carl,Philipp Emanuel Bach,1714-03-08,1788-12-14,"Weimar,Germany","Hamburg,Germany",,,
539,Johann,Christian Bach,1735-09-05,1782-01-01,"Leipzig,Germany","London,England",Son of Johann Sebastian.,,
540,Johann,Christoph Friedrich Bach,1732-06-21,1795-01-26,"Leipzig,Germany","Bückeburg,Germany",Son of Johann Sebastian.,,
541,Johann,Christoph Bach,1642-12-06,1703-03-31,"Arnstadt,Germany","Eisenach,Germany","Johann Christoph’s birthday is somewhat uncertain. He was baptised on 8 December. He is the twin brother of the father of Johann Sebastian Bach, which makes him his uncle.",,
542,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
543,P.D.Q.,Bach,,,,,,,
544,Wilhelm,Friedemann Bach,1710-11-22,1784-07-01,"Weimar,Germany","Berlin,Germany",Son of Johann Sebastian.,,
545,Francis,Edward Bache,1833-09-14,1858-08-24,"Birmingham,England","Birmingham,England",,,
546,Johann,Georg Heinrich Back(h)ofen,,,Germany,Germany,,,
547,Ernst,Bacon,1898-05-26,,"Chicago,USA",,,,
548,Tekla,Badarcewska-Baranowska,,,Poland,,,,
